"str_ticker","regex"
"AALR3","AALR"
"ABCB3","ABCB"
"ABCB4","ABCB"
"ABEV3","ABEV"
"AESB3","AESB"
"AGRO3","AGRO"
"ALLD3","ALLD"
"ALSO3","ALSO"
"AMAR3","AMAR"
"AMER3","AMER"
"APER3","APER"
"APTI4","APTI"
"ARZZ3","ARZZ"
"ASAI3","ASAI"
"AVLL3","AVLL"
"AZUL4","AZUL"
"BALM3","BALM"
"BALM4","BALM"
"BBRK3","BBRK"
"BEEF3","BEEF"
"BIOM4","BIOM"
"BIOM3","BIOM"
"BMGB4","BMGB"
"BMGB11","BMGB"
"BMKS3","BMKS"
"BMOB3","BMOB"
"BOAS3","BOAS"
"BOBR3","BOBR"
"BOBR4","BOBR"
"BRAP3","BRAP"
"BRAP4","BRAP"
"BRGE11","BRGE"
"BRGE8","BRGE"
"BRGE12","BRGE"
"BRGE6","BRGE"
"BRGE5","BRGE"
"BRGE3","BRGE"
"BRGE7","BRGE"
"BRKM6","BRKM"
"BRKM3","BRKM"
"BRKM5","BRKM"
"BRML3","BRML"
"BRPR3","BRPR"
"CAMB4","CAMB"
"CAMB3","CAMB"
"CAML3","CAML"
"CASH3","CASH"
"CGRA4","CGRA"
"CGRA3","CGRA"
"CIEL3","CIEL"
"CLSA3","CLSA"
"CNTO3","CNTO"
"CPFE3","CPFE"
"CPFG4","CPFG"
"CPFG3","CPFG"
"CPRE3","CPRE"
"CRDE3","CRDE"
"CRPG3","CRPG"
"CRPG6","CRPG"
"CRPG5","CRPG"
"CSED3","CSED"
"CSNA3","CSNA"
"CTKA4","CTKA"
"CTKA3","CTKA"
"CTNM3","CTNM"
"CTNM4","CTNM"
"CTSA8","CTSA"
"CTSA4","CTSA"
"CTSA3","CTSA"
"CURY3","CURY"
"DASA3","DASA"
"DESK3","DESK"
"DIRR3","DIRR"
"DMMO3","DMMO"
"DOHL4","DOHL"
"DOHL3","DOHL"
"DOTZ3","DOTZ"
"DXCO3","DXCO"
"EALT4","EALT"
"EALT3","EALT"
"ECOR3","ECOR"
"EGIE3","EGIE"
"ELMD3","ELMD"
"ENBR3","ENBR"
"ENEV3","ENEV"
"ENGI4","ENGI"
"ENGI3","ENGI"
"ENGI11","ENGI"
"EQTL3","EQTL"
"ESPA3","ESPA"
"ESTR4","ESTR"
"ESTR3","ESTR"
"EVEN3","EVEN"
"EZTC3","EZTC"
"FLRY3","FLRY"
"FRAS3","FRAS"
"FRAS4","FRAS"
"FRIO3","FRIO"
"FRTA3","FRTA"
"GFSA3","GFSA"
"GGBR4","GGBR"
"GGBR3","GGBR"
"GMAT3","GMAT"
"GOAU3","GOAU"
"GOAU4","GOAU"
"GOLL4","GOLL"
"GPAR3","GPAR"
"GPIV33","GPIV"
"GRND3","GRND"
"GUAR4","GUAR"
"GUAR3","GUAR"
"HBOR3","HBOR"
"HBRE3","HBRE"
"HBSA3","HBSA"
"HYPE3","HYPE"
"IFCM3","IFCM"
"IGTA3","IGTA"
"IRBR3","IRBR"
"ITUB3","ITUB"
"ITUB4","ITUB"
"JALL3","JALL"
"JBSS3","JBSS"
"JHSF3","JHSF"
"JOPA3","JOPA"
"JOPA4","JOPA"
"KEPL3","KEPL"
"KLBN3","KLBN"
"KLBN4","KLBN"
"KLBN11","KLBN"
"LAME3","LAME"
"LAME4","LAME"
"LAVV3","LAVV"
"LEVE4","LEVE"
"LEVE3","LEVE"
"LIGT3","LIGT"
"LJQQ3","LJQQ"
"LOGN3","LOGN"
"LPSB3","LPSB"
"LREN4","LREN"
"LREN3","LREN"
"LUXM3","LUXM"
"LUXM4","LUXM"
"LVTC3","LVTC"
"LWSA3","LWSA"
"MDIA3","MDIA"
"MDNE3","MDNE"
"MEAL3","MEAL"
"MGEL4","MGEL"
"MGEL3","MGEL"
"MGLU3","MGLU"
"MILS3","MILS"
"MLAS3","MLAS"
"MNDL3","MNDL"
"MNDL4","MNDL"
"MNPR3","MNPR"
"MNPR4","MNPR"
"MOAR3","MOAR"
"MODL11","MODL"
"MODL3","MODL"
"MODL4","MODL"
"MOVI3","MOVI"
"MRVE3","MRVE"
"MTSA4","MTSA"
"MYPK3","MYPK"
"MYPK4","MYPK"
"NEOE3","NEOE"
"NTCO3","NTCO"
"NUTR3","NUTR"
"ODPV3","ODPV"
"OFSA3","OFSA"
"ONCO3","ONCO"
"OPCT3","OPCT"
"OSXB3","OSXB"
"PARD3","PARD"
"PATI3","PATI"
"PATI4","PATI"
"PDTC3","PDTC"
"PETR4","PETR"
"PETR3","PETR"
"PFRM3","PFRM"
"PINE4","PINE"
"PINE3","PINE"
"PLAS3","PLAS"
"PLPL3","PLPL"
"PMAM4","PMAM"
"PMAM3","PMAM"
"PNVL4","PNVL"
"PNVL3","PNVL"
"POMO4","POMO"
"POMO3","POMO"
"PORT3","PORT"
"PRBC3","PRBC"
"PRBC4","PRBC"
"PRIO3","PRIO"
"PRNR3","PRNR"
"PSSA3","PSSA"
"PTBL3","PTBL"
"PTBL4","PTBL"
"RADL3","RADL"
"RAIL3","RAIL"
"RAIZ4","RAIZ"
"RAPT4","RAPT"
"RAPT3","RAPT"
"RCSL3","RCSL"
"RCSL4","RCSL"
"RDNI3","RDNI"
"RECV3","RECV"
"RENT3","RENT"
"RLOG3","RLOG"
"RPAD3","RPAD"
"RPAD6","RPAD"
"RPAD5","RPAD"
"RRRP3","RRRP"
"RSID3","RSID"
"RSUL4","RSUL"
"SANB3","SANB"
"SANB11","SANB"
"SANB4","SANB"
"SEER3","SEER"
"SEQL3","SEQL"
"SGPS3","SGPS"
"SHUL4","SHUL"
"SIMH3","SIMH"
"SLCE3","SLCE"
"SMFT3","SMFT"
"SMLS3","SMLS"
"SMTO3","SMTO"
"SNSY5","SNSY"
"SOMA3","SOMA"
"STBP3","STBP"
"STBP11","STBP"
"SULA4","SULA"
"SULA11","SULA"
"SULA3","SULA"
"TAEE3","TAEE"
"TAEE4","TAEE"
"TAEE11","TAEE"
"TASA3","TASA"
"TASA4","TASA"
"TCSA3","TCSA"
"TECN3","TECN"
"TELB4","TELB"
"TELB3","TELB"
"TEND3","TEND"
"TFCO4","TFCO"
"TGMA3","TGMA"
"TIMS3","TIMS"
"TOTS3","TOTS"
"TRAD3","TRAD"
"TRIS3","TRIS"
"TUPY4","TUPY"
"TUPY3","TUPY"
"TXRX3","TXRX"
"TXRX4","TXRX"
"UCAS3","UCAS"
"UGPA3","UGPA"
"UGPA4","UGPA"
"VALE3","VALE"
"VALE5","VALE"
"VBBR3","VBBR"
"VIIA3","VIIA"
"VITT3","VITT"
"VIVT3","VIVT"
"VIVT4","VIVT"
"VSPT4","VSPT"
"VSPT3","VSPT"
"VULC3","VULC"
"VULC4","VULC"
"VVEO3","VVEO"
"WEGE4","WEGE"
"WEGE3","WEGE"
"WHRL4","WHRL"
"WHRL3","WHRL"
